EDITION,NAME,TOKEN,ATTRIBUTE:COLLECTION,ATTRIBUTE:TITLE,ATTRIBUTE:MINTAGE,ATTRIBUTE:POWER,ATTRIBUTE:YEAR,ATTRIBUTE:EDITION,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
1,Emidas Genesis Act 1,GNOGENDUP-814470-01,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
2,Emidas Genesis Act 1,GNOGENDUP-814470-02,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
3,Emidas Genesis Act 1,GNOGENDUP-814470-03,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
4,Emidas Genesis Act 1,GNOGENDUP-814470-04,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
5,Emidas Genesis Act 1,GNOGENDUP-814470-05,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
6,Emidas Genesis Act 1,GNOGENDUP-814470-06,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
7,Emidas Genesis Act 1,GNOGENDUP-814470-07,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
8,Emidas Genesis Act 1,GNOGENDUP-814470-08,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
9,Emidas Genesis Act 1,GNOGENDUP-814470-09,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
10,Emidas Genesis Act 1,GNOGENDUP-814470-0A,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
11,Emidas Genesis Act 1,GNOGENDUP-814470-0B,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
12,Emidas Genesis Act 1,GNOGENDUP-814470-0C,Emidas Genesis,Zero to One,200,200,2021,1st,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/1st%20EDITIONS/Emidas%20Act%201%20First%20Edition%20Final.mp4,
13,Emidas Genesis Act 1,GNOGENDUP-814470-0D,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
14,Emidas Genesis Act 1,GNOGENDUP-814470-0E,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
15,Emidas Genesis Act 1,GNOGENDUP-814470-0F,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
