EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
1,GNOGONS #1,XGNOGONS-0a6d4c-01,93,95,96,99,97,91,Tiffany Sea,Aura,Alloys,Diamond Hands,Violet,Dragonguard,Steel Scales,Plasma,Rise,Elder,396.78,2657,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/1.png,
2,GNOGONS #2,XGNOGONS-0a6d4c-02,90,94,90,91,95,94,Fast Furious,Bone,Alloys,Kobe,Autumn,Toxic,Desert Storm,Jet Blue,Crusader,Priest,348.83,4751,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2.png,
3,GNOGONS #3,XGNOGONS-0a6d4c-03,85,96,91,94,94,92,Undriven Snow,Tiffany,Thunder,God of War,Emerald,Lagoon,Gold Plated,Razor,Royal Armor,Healer,293.22,8349,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/3.png,
4,GNOGONS #4,XGNOGONS-0a6d4c-04,91,94,94,90,96,92,Black Charcoal,Taupe,Plant,Cotton Candy,Autumn,Toxic,Mech Suit,Mist,Crusader,Wisdom,287.93,8629,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/4.png,
5,GNOGONS #5,XGNOGONS-0a6d4c-05,65,90,89,91,93,95,Midnight Navy,GNG,Decay,God of War,Sky,Lagoon,Atlantis,Hades,MEX,Super,297.83,8076,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/5.png,
6,GNOGONS #6,XGNOGONS-0a6d4c-06,70,92,93,94,94,93,Midnight Navy,Bone,Water,Cotton Candy,Citrus,Mountain,Atlantis,Silver,Royal Armor,Stealth Mode,307.8,7445,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/6.png,
7,GNOGONS #7,XGNOGONS-0a6d4c-07,65,97,98,95,96,92,Hot Pink,Tiffany,Fire,Seaside,Sky,Tough,Blizzard,Scarab,MEX,Victory Crown,361.47,4090,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/7.png,
8,GNOGONS #8,XGNOGONS-0a6d4c-08,85,89,98,94,96,89,Fast Furious,Aura,Fear,Diamond Hands,Autumn,Lagoon,Atlantis,Chariot,None,Metaversed,362.28,4054,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/8.png,
9,GNOGONS #9,XGNOGONS-0a6d4c-09,90,95,94,91,97,93,Pure Red,Beluga,Fire,Lunar Landing,Gold,Diamond,Steel Scales,Jet Blue,None,Victory Crown,332.4,5805,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/9.png,
10,GNOGONS #10,XGNOGONS-0a6d4c-0A,97,94,97,95,97,98,Fast Furious,Aura,Sun,Kobe,Emerald,Mountain,Marine,Hades,Seashell,Stealth Mode,422.88,1918,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/10.png,
11,GNOGONS #11,XGNOGONS-0a6d4c-0B,70,98,98,95,93,94,Pure Red,Forrest,Plant,Gnogons,Emerald,Oceanic,Gold Plated,Plasma,MEX,Inferno,395.24,2707,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/11.png,
12,GNOGONS #12,XGNOGONS-0a6d4c-0C,95,95,92,94,94,96,Pure Red,Aura,Gnogen,Lunar Landing,Gold,Toxic,Desert Storm,Beauty,None,Super,313.47,7058,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/12.png,
13,GNOGONS #13,XGNOGONS-0a6d4c-0D,80,94,94,94,94,92,Fast Furious,Blush,Fire,Bubble Gum,Cerulean,Oceanic,Stealthmode,Razor,None,Iridescent,235.63,9984,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/13.png,
14,GNOGONS #14,XGNOGONS-0a6d4c-0E,90,91,93,91,96,89,Undriven Snow,Forrest,Plant,Death,Cerulean,Oceanic,Plated,Mist,Metal,Priest,351.33,4620,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/14.png,
15,GNOGONS #15,XGNOGONS-0a6d4c-0F,90,99,95,94,97,97,Tiffany Sea,Aura,Fire,Seaside,Gold,Mountain,Marine,Plasma,Rise,Destroyer,441.94,1518,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/15.png,
16,GNOGONS #16,XGNOGONS-0a6d4c-10,65,94,93,98,94,92,Fast Furious,Deep Sea,Gnogen,Fire Blast,Charcoal,Lagoon,Desert Storm,Mist,None,Destroyer,373.56,3522,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/16.png,
17,GNOGONS #17,XGNOGONS-0a6d4c-11,80,91,97,90,91,91,Almond Skin,Beluga,Fire,Diamond Hands,Charcoal,Dragonguard,Maiar Blue,Flightsuit,None,Healer,276.75,9167,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/17.png,
18,GNOGONS #18,XGNOGONS-0a6d4c-12,98,97,92,90,99,94,Almond Skin,Forrest,Plant,Gnogons,Autumn,Dragonguard,Steel Scales,Sacrifice,None,Pharoah,459.65,1249,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/18.png,
19,GNOGONS #19,XGNOGONS-0a6d4c-13,85,94,96,89,95,94,Twilight Zone,GNG,Plant,Guardian of Earth,Citrus,Lagoon,Stealthmode,Hades,Blackbox,Super,301.51,7863,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/19.png,
20,GNOGONS #20,XGNOGONS-0a6d4c-14,95,94,97,94,89,96,Twilight Zone,Blush,Ice,Seaside,Charcoal,Mountain,Maiar Blue,Scarab,None,Alien,347.2,4868,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/20.png,
21,GNOGONS #21,XGNOGONS-0a6d4c-15,75,94,96,93,99,97,Twilight Zone,Taupe,Sun,Rival,Gold,Mountain,Desert Storm,Dusk,None,Warrior,330.85,5910,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/21.png,
22,GNOGONS #22,XGNOGONS-0a6d4c-16,85,93,94,94,95,94,Gnogen Burst,Bananas,Alloys,Lockness,Sky,Diamond,Desert Storm,Mist,Treesuit,God of Thunder,445.96,1444,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/22.png,
23,GNOGONS #23,XGNOGONS-0a6d4c-17,65,89,96,94,98,92,Midnight Navy,GNG,Decay,Cotton Candy,Autumn,Toxic,Platinum,Dusk,Rise,Wisdom,362.55,4037,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/23.png,
