EDITION,NAME,TOKEN,ATTRIBUTE:MODEL,ATTRIBUTE:RANK,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:ACCURACY,ATTRIBUTE:RAM,ATTRIBUTE:BACKGROUND,ATTRIBUTE:WEAPON,ATTRIBUTE:BODY,ATTRIBUTE:EXPRESSION,ATTRIBUTE:ARMOR,ATTRIBUTE:MASK,ATTRIBUTE:EYEWEAR,ATTRIBUTE:HEAD,ATTRIBUTE:NECKLACE,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
1,ValidatorV2 #1,XVTWO-fcc831-01,Omega,Legendary,100,99,98,97,100,97,NONE,NONE,Thunder Goddess,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,2,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1.png,
2,ValidatorV2 #2,XVTWO-fcc831-02,Alpha,Legendary,100,100,98,97,97,99,NONE,NONE,Thunder God,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,17,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/2.png,
3,ValidatorV2 #3,XVTWO-fcc831-03,Omega,Legendary,100,99,98,97,100,97,NONE,NONE,Blue Flame,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,8,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/3.png,
4,ValidatorV2 #4,XVTWO-fcc831-04,Alpha,Legendary,100,98,97,99,100,97,NONE,NONE,Inferno,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,20,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/4.png,
5,ValidatorV2 #5,XVTWO-fcc831-05,Omega,Legendary,100,97,99,98,97,100,NONE,NONE,Exorcist,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,9,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/5.png,
6,ValidatorV2 #6,XVTWO-fcc831-06,Alpha,Legendary,100,97,97,98,99,98,NONE,NONE,Crusader,NONE,NONE,NONE,NONE,NONE,NONE,2823.350386,22,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/6.png,
7,ValidatorV2 #7,XVTWO-fcc831-07,Omega,Legendary,100,97,100,99,98,97,NONE,NONE,Ice Queen,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,10,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/7.png,
8,ValidatorV2 #8,XVTWO-fcc831-08,Alpha,Legendary,100,98,97,100,97,99,NONE,NONE,World Destroyer,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,21,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/8.png,
9,ValidatorV2 #9,XVTWO-fcc831-09,Omega,Legendary,100,97,97,99,98,100,NONE,NONE,Spartan,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,11,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/9.png,
10,ValidatorV2 #10,XVTWO-fcc831-0A,Alpha,Legendary,100,98,100,97,99,97,NONE,NONE,Warrior,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,12,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/10.png,
11,ValidatorV2 #11,XVTWO-fcc831-0B,Omega,Legendary,100,100,97,97,99,98,NONE,NONE,Medic,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,3,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/11.png,
12,ValidatorV2 #12,XVTWO-fcc831-0C,Alpha,Legendary,100,99,97,100,97,98,NONE,NONE,Rescue,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,13,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/12.png,
13,ValidatorV2 #13,XVTWO-fcc831-0D,Omega,Legendary,100,97,100,97,99,98,NONE,NONE,Queen of the Underworld,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,4,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/13.png,
14,ValidatorV2 #14,XVTWO-fcc831-0E,Alpha,Legendary,100,97,100,98,99,97,NONE,NONE,The Dark Side,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,14,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/14.png,
